taxa	taxid	superkingdom	clade	kingdom	family	genus
Homo sapiens	9606	Eukaryota	Opisthokonta	Metazoa	Hominidae	Homo
Blastomyces percursus	1658174	Eukaryota	Opisthokonta	Fungi	Ajellomycetaceae	Blastomyces
Aspergillus thermomutatus	41047	Eukaryota	Opisthokonta	Fungi	Aspergillaceae	Aspergillus
Malassezia restricta	76775	Eukaryota	Opisthokonta	Fungi	Malasseziaceae	Malassezia
Rhizophagus irregularis	588596	Eukaryota	Opisthokonta	Fungi	Glomeraceae	Rhizophagus
Salmonella enterica	28901	Bacteria	NA	NA	Enterobacteriaceae	Salmonella
Escherichia coli	562	Bacteria	NA	NA	Enterobacteriaceae	Escherichia
Escherichia albertii	208962	Bacteria	NA	NA	Enterobacteriaceae	Escherichia
Klebsiella pneumoniae	573	Bacteria	NA	NA	Enterobacteriaceae	Klebsiella
Klebsiella variicola	244366	Bacteria	NA	NA	Enterobacteriaceae	Klebsiella
Enterobacter hormaechei	158836	Bacteria	NA	NA	Enterobacteriaceae	Enterobacter
Enterobacter sp. T2	2707174	Bacteria	NA	NA	Enterobacteriaceae	Enterobacter
Cronobacter sakazakii	28141	Bacteria	NA	NA	Enterobacteriaceae	Cronobacter
Edwardsiella ictaluri	67780	Bacteria	NA	NA	Hafniaceae	Edwardsiella
Proteus mirabilis	584	Bacteria	NA	NA	Morganellaceae	Proteus
Dickeya fangzhongdai	1778540	Bacteria	NA	NA	Pectobacteriaceae	Dickeya
Pseudomonas marginalis	298	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas fluorescens	294	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas aeruginosa	287	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas lurida	244566	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Acinetobacter johnsonii	40214	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter baumannii	470	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter haemolyticus	29430	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter radioresistens	40216	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter sp. NEB 394	2743575	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Moraxella osloensis	34062	Bacteria	NA	NA	Moraxellaceae	Moraxella
Shewanella sp. Scap07	2589987	Bacteria	NA	NA	Shewanellaceae	Shewanella
Pseudoalteromonas sp. Scap06	2589991	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas sp. Scap25	2589992	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Stenotrophomonas indicatrix	2045451	Bacteria	NA	NA	Lysobacteraceae	Stenotrophomonas
Stenotrophomonas maltophilia	40324	Bacteria	NA	NA	Lysobacteraceae	Stenotrophomonas
Xanthomonas campestris	339	Bacteria	NA	NA	Lysobacteraceae	Xanthomonas
Haemophilus parainfluenzae	729	Bacteria	NA	NA	Pasteurellaceae	Haemophilus
Glaesserella parasuis	738	Bacteria	NA	NA	Pasteurellaceae	Glaesserella
Aeromonas veronii	654	Bacteria	NA	NA	Aeromonadaceae	Aeromonas
Piscirickettsia salmonis	1238	Bacteria	NA	NA	Piscirickettsiaceae	Piscirickettsia
Bartonella krasnovii	2267275	Bacteria	NA	NA	Bartonellaceae	Bartonella
Bradyrhizobium sp. ISRA463	2866199	Bacteria	NA	NA	Nitrobacteraceae	Bradyrhizobium
Agrobacterium tumefaciens	358	Bacteria	NA	NA	Rhizobiaceae	Agrobacterium
Mesorhizobium terrae	2725666	Bacteria	NA	NA	Phyllobacteriaceae	Mesorhizobium
Brucella sp. 1315	2975050	Bacteria	NA	NA	Brucellaceae	Brucella
Pararhodospirillum photometricum	1084	Bacteria	NA	NA	Rhodospirillaceae	Pararhodospirillum
Acetobacter ascendens	481146	Bacteria	NA	NA	Acetobacteraceae	Acetobacter
Paracoccus sanguinis	1545044	Bacteria	NA	NA	Paracoccaceae	Paracoccus
Burkholderia cenocepacia	95486	Bacteria	NA	NA	Burkholderiaceae	Burkholderia
Burkholderia contaminans	488447	Bacteria	NA	NA	Burkholderiaceae	Burkholderia
Paraburkholderia fungorum	134537	Bacteria	NA	NA	Burkholderiaceae	Paraburkholderia
Paraburkholderia dioscoreae	2604047	Bacteria	NA	NA	Burkholderiaceae	Paraburkholderia
Paraburkholderia phytofirmans	261302	Bacteria	NA	NA	Burkholderiaceae	Paraburkholderia
Neisseria gonorrhoeae	485	Bacteria	NA	NA	Neisseriaceae	Neisseria
Plantactinospora sp. BB1	2071627	Bacteria	Terrabacteria group	NA	Micromonosporaceae	Plantactinospora
Plantactinospora sp. BC1	2108470	Bacteria	Terrabacteria group	NA	Micromonosporaceae	Plantactinospora
Mycobacterium avium	1764	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Mycobacterium intracellulare	1767	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Mycobacterium tuberculosis	1773	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Mycobacterium stomatepiae	470076	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Mycolicibacterium aubagnense	319707	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycolicibacterium
Mycolicibacterium vanbaalenii	110539	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycolicibacterium
Mycobacteroides abscessus	36809	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacteroides
Prescottella equi	43767	Bacteria	Terrabacteria group	NA	Nocardiaceae	Prescottella
Rhodococcus sp. JS3073	3002901	Bacteria	Terrabacteria group	NA	Nocardiaceae	Rhodococcus
Nocardia seriolae	37332	Bacteria	Terrabacteria group	NA	Nocardiaceae	Nocardia
Corynebacterium simulans	146827	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium amycolatum	43765	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium matruchotii	43768	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium durum	61592	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium accolens	38284	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium tuberculostearicum	38304	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Corynebacterium hindlerae	699041	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Streptomyces caniscabiei	2746961	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. RLB1-8	2594453	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. A10(2020)	2782013	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. WZ-12	3030210	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces fradiae	1906	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Cutibacterium acnes	1747	Bacteria	Terrabacteria group	NA	Propionibacteriaceae	Cutibacterium
Nocardioides marinisabuli	419476	Bacteria	Terrabacteria group	NA	Nocardioidaceae	Nocardioides
Rothia mucilaginosa	43675	Bacteria	Terrabacteria group	NA	Micrococcaceae	Rothia
Kocuria rhizophila	72000	Bacteria	Terrabacteria group	NA	Micrococcaceae	Kocuria
Microbacterium aurum	36805	Bacteria	Terrabacteria group	NA	Microbacteriaceae	Microbacterium
Cellulomonas wangsupingiae	2968085	Bacteria	Terrabacteria group	NA	Cellulomonadaceae	Cellulomonas
Actinomyces oris	544580	Bacteria	Terrabacteria group	NA	Actinomycetaceae	Actinomyces
Actinomyces sp. HMT897	2789424	Bacteria	Terrabacteria group	NA	Actinomycetaceae	Actinomyces
Schaalia odontolytica	1660	Bacteria	Terrabacteria group	NA	Actinomycetaceae	Schaalia
Lancefieldella parvula	1382	Bacteria	Terrabacteria group	NA	Atopobiaceae	Lancefieldella
Streptococcus sp. A12	1759399	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. Marseille-Q3533	2759692	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. oral taxon 061	712623	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus mitis	28037	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus australis	113107	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus toyakuensis	2819619	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus parasanguinis	1318	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus constellatus	76860	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus oralis	1303	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus suis	1307	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pneumoniae	1313	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Enterococcus faecium	1352	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Enterococcus faecalis	1351	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Aerococcus urinaeequi	51665	Bacteria	Terrabacteria group	NA	Aerococcaceae	Aerococcus
Staphylococcus epidermidis	1282	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus capitis	29388	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Staphylococcus roterodami	2699836	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Gemella morbillorum	29391	Bacteria	Terrabacteria group	NA	Gemellaceae	Gemella
Gemella sanguinis	84135	Bacteria	Terrabacteria group	NA	Gemellaceae	Gemella
Exiguobacterium acetylicum	41170	Bacteria	Terrabacteria group	NA	NA	Exiguobacterium
Planococcus sp. MB-3u-03	2058136	Bacteria	Terrabacteria group	NA	Planococcaceae	Planococcus
Bacillus velezensis	492670	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Bacillus cereus	1396	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Veillonella rogosae	423477	Bacteria	Terrabacteria group	NA	Veillonellaceae	Veillonella
Coprococcus comes	410072	Bacteria	Terrabacteria group	NA	Lachnospiraceae	Coprococcus
Lachnoanaerobaculum gingivalis	2490855	Bacteria	Terrabacteria group	NA	Lachnospiraceae	Lachnoanaerobaculum
Symbiobacterium thermophilum	2734	Bacteria	Terrabacteria group	NA	Symbiobacteriaceae	Symbiobacterium
Allomeiothermus silvanus	52022	Bacteria	Terrabacteria group	NA	Thermaceae	Allomeiothermus
Thermus scotoductus	37636	Bacteria	Terrabacteria group	NA	Thermaceae	Thermus
Deinococcus actinosclerus	1768108	Bacteria	Terrabacteria group	NA	Deinococcaceae	Deinococcus
Prevotella melaninogenica	28132	Bacteria	FCB group	NA	Prevotellaceae	Prevotella
Prevotella nigrescens	28133	Bacteria	FCB group	NA	Prevotellaceae	Prevotella
Prevotella sp. oral taxon 299	652716	Bacteria	FCB group	NA	Prevotellaceae	Prevotella
Prevotella bivia	28125	Bacteria	FCB group	NA	Prevotellaceae	Prevotella
Prevotella oris	28135	Bacteria	FCB group	NA	Prevotellaceae	Segatella
Hoylesella buccalis	28127	Bacteria	FCB group	NA	Prevotellaceae	Hoylesella
Tannerella serpentiformis	712710	Bacteria	FCB group	NA	Tannerellaceae	Tannerella
Porphyromonas endodontalis	28124	Bacteria	FCB group	NA	Porphyromonadaceae	Porphyromonas
Porphyromonas gingivalis	837	Bacteria	FCB group	NA	Porphyromonadaceae	Porphyromonas
Flavobacterium columnare	996	Bacteria	FCB group	NA	Flavobacteriaceae	Flavobacterium
Candidatus Karelsulcia muelleri	336810	Bacteria	FCB group	NA	NA	Candidatus Karelsulcia
Hymenobacter sp. 5317J-9	2932250	Bacteria	FCB group	NA	Hymenobacteraceae	Hymenobacter
Dyadobacter sp. NIV53	2861765	Bacteria	FCB group	NA	Spirosomataceae	Dyadobacter
Fusobacterium pseudoperiodonticum	2663009	Bacteria	NA	NA	Fusobacteriaceae	Fusobacterium
Leptotrichia wadei	157687	Bacteria	NA	NA	Leptotrichiaceae	Leptotrichia
Campylobacter concisus	199	Bacteria	NA	NA	Campylobacteraceae	Campylobacter
Helicobacter suis	104628	Bacteria	NA	NA	Helicobacteraceae	Helicobacter
Cystobacter fuscus	43	Bacteria	NA	NA	Archangiaceae	Cystobacter
synthetic construct	32630	NA	NA	NA	NA	NA
Peduovirus P22H1	2844217	Viruses	Duplodnaviria	Heunggongvirae	Peduoviridae	Peduovirus
Quadragintavirus ev129	2956347	Viruses	Duplodnaviria	Heunggongvirae	Peduoviridae	Quadragintavirus
Streptococcus phage CHPC1062	2365021	Viruses	Duplodnaviria	Heunggongvirae	Aliceevansviridae	Moineauvirus
Radostvirus ev099	2844247	Viruses	Duplodnaviria	Heunggongvirae	NA	Radostvirus
Jouyvirus ev017	2844245	Viruses	Duplodnaviria	Heunggongvirae	NA	Jouyvirus
Kamchatkavirus AP45	2843645	Viruses	Duplodnaviria	Heunggongvirae	NA	Kamchatkavirus
Friunavirus AbKT21III	2733316	Viruses	Duplodnaviria	Heunggongvirae	Autographiviridae	Friunavirus
Alphainfluenzavirus influenzae	2955291	Viruses	Riboviria	Orthornavirae	Orthomyxoviridae	Alphainfluenzavirus
Trichomonas tenax	43075	Eukaryota	Metamonada	NA	Trichomonadidae	Trichomonas
Shigella flexneri	623	Bacteria	NA	NA	Enterobacteriaceae	Shigella
Shigella dysenteriae	622	Bacteria	NA	NA	Enterobacteriaceae	Shigella
Citrobacter braakii	57706	Bacteria	NA	NA	Enterobacteriaceae	Citrobacter
Pseudomonas oleovorans	301	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. GXZC	3003351	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. FDAARGOS_380	2018067	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. CYM-20-01	2870750	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas syringae	317	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas protegens	380021	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Acinetobacter junii	40215	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Acinetobacter sp. Tol 5	710648	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Moraxella nasovis	2904121	Bacteria	NA	NA	Moraxellaceae	Moraxella
Lysobacter capsici	435897	Bacteria	NA	NA	Lysobacteraceae	Lysobacter
Aeromonas dhakensis	196024	Bacteria	NA	NA	Aeromonadaceae	Aeromonas
Haemophilus influenzae	727	Bacteria	NA	NA	Pasteurellaceae	Haemophilus
Sphingomonas sp. PAMC26645	2565555	Bacteria	NA	NA	Sphingomonadaceae	Sphingomonas
Sphingomonas insulae	424800	Bacteria	NA	NA	Sphingomonadaceae	Sphingomonas
Sphingomonas sanguinis	33051	Bacteria	NA	NA	Sphingomonadaceae	Sphingomonas
Sphingomonas hankookensis	563996	Bacteria	NA	NA	Sphingomonadaceae	Sphingomonas
Sphingobium yanoikuyae	13690	Bacteria	NA	NA	Sphingomonadaceae	Sphingobium
Caulobacter sp. FWC26	69665	Bacteria	NA	NA	Caulobacteraceae	Caulobacter
Caulobacter rhizosphaerae	2010972	Bacteria	NA	NA	Caulobacteraceae	Caulobacter
Caulobacter vibrioides	155892	Bacteria	NA	NA	Caulobacteraceae	Caulobacter
Brevundimonas sp. SGAir0440	2579977	Bacteria	NA	NA	Caulobacteraceae	Brevundimonas
Paracoccus sp. Arc7-R13	2500532	Bacteria	NA	NA	Paracoccaceae	Paracoccus
Roseococcus microcysteis	2771361	Bacteria	NA	NA	Acetobacteraceae	Roseococcus
Paraburkholderia aromaticivorans	2026199	Bacteria	NA	NA	Burkholderiaceae	Paraburkholderia
Burkholderia mallei	13373	Bacteria	NA	NA	Burkholderiaceae	Burkholderia
Cupriavidus pauculus	82633	Bacteria	NA	NA	Burkholderiaceae	Cupriavidus
Acidovorax sp. KKS102	358220	Bacteria	NA	NA	Comamonadaceae	Acidovorax
Acidovorax temperans	80878	Bacteria	NA	NA	Comamonadaceae	Acidovorax
Comamonas aquatica	225991	Bacteria	NA	NA	Comamonadaceae	Comamonas
Tepidimonas taiwanensis	307486	Bacteria	NA	NA	NA	Tepidimonas
Bordetella pertussis	520	Bacteria	NA	NA	Alcaligenaceae	Bordetella
Achromobacter spanius	217203	Bacteria	NA	NA	Alcaligenaceae	Achromobacter
Oxalobacter aliiformigenes	2946593	Bacteria	NA	NA	Oxalobacteraceae	Oxalobacter
Schlegelella aquatica	376175	Bacteria	NA	NA	Sphaerotilaceae	Caldimonas
Neisseria sicca	490	Bacteria	NA	NA	Neisseriaceae	Neisseria
Neisseria sp. ZJ106	2912188	Bacteria	NA	NA	Neisseriaceae	Neisseria
Micromonospora aurantiaca	47850	Bacteria	Terrabacteria group	NA	Micromonosporaceae	Micromonospora
Mycolicibacterium phocaicum	319706	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycolicibacterium
Gordonia iterans	1004901	Bacteria	Terrabacteria group	NA	Gordoniaceae	Gordonia
Propionibacterium freudenreichii	1744	Bacteria	Terrabacteria group	NA	Propionibacteriaceae	Propionibacterium
Nocardioides okcheonensis	2894081	Bacteria	Terrabacteria group	NA	Nocardioidaceae	Nocardioides
Streptomyces sp. A144	2871487	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. HUAS 13-4	2981134	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. SM17	565560	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. S1A1-8	2594460	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Schaalia sp. JY-X169	2758572	Bacteria	Terrabacteria group	NA	Actinomycetaceae	Schaalia
Actinomyces sp. oral taxon 897	2081702	Bacteria	Terrabacteria group	NA	Actinomycetaceae	Actinomyces
Actinomyces israelii	1659	Bacteria	Terrabacteria group	NA	Actinomycetaceae	Actinomyces
Rothia dentocariosa	2047	Bacteria	Terrabacteria group	NA	Micrococcaceae	Rothia
Paenarthrobacter sp. R1	3049085	Bacteria	Terrabacteria group	NA	Micrococcaceae	Paenarthrobacter
Curtobacterium citreum	2036	Bacteria	Terrabacteria group	NA	Microbacteriaceae	Curtobacterium
Curtobacterium sp. MCPF17_021	2175639	Bacteria	Terrabacteria group	NA	Microbacteriaceae	Curtobacterium
Cryobacterium sp. PAMC25264	2861288	Bacteria	Terrabacteria group	NA	Microbacteriaceae	Cryobacterium
Streptococcus sp. Marseille-Q6470	2972784	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus sp. LPB0220	2610896	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus ilei	1156431	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus pseudopneumoniae	257758	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus infantis	68892	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus salivarius	1304	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus gwangjuense	1433513	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Vagococcus teuberi	519472	Bacteria	Terrabacteria group	NA	Enterococcaceae	Vagococcus
Veillonella parvula	29466	Bacteria	Terrabacteria group	NA	Veillonellaceae	Veillonella
Veillonella sp. S12025-13	2682455	Bacteria	Terrabacteria group	NA	Veillonellaceae	Veillonella
Veillonella atypica	39777	Bacteria	Terrabacteria group	NA	Veillonellaceae	Veillonella
Hungatella hathewayi	154046	Bacteria	Terrabacteria group	NA	Lachnospiraceae	Hungatella
Mycoplasmopsis bovis	28903	Bacteria	Terrabacteria group	NA	Metamycoplasmataceae	Mycoplasmopsis
Microcystis aeruginosa	1126	Bacteria	Terrabacteria group	NA	Microcystaceae	Microcystis
Crinalium epipsammum	241425	Bacteria	Terrabacteria group	NA	Gomontiellaceae	Crinalium
Synechococcus sp. SynAce01	1916956	Bacteria	Terrabacteria group	NA	Synechococcaceae	Synechococcus
Candidatus Promineofilum breve	1806508	Bacteria	Terrabacteria group	NA	Candidatus Promineifilaceae	Candidatus Promineifilum
Prevotella jejuni	1177574	Bacteria	FCB group	NA	Prevotellaceae	Prevotella
Prevotella intermedia	28131	Bacteria	FCB group	NA	Prevotellaceae	Prevotella
Prevotella dentalis	52227	Bacteria	FCB group	NA	Prevotellaceae	Prevotella
Prevotella corporis	28128	Bacteria	FCB group	NA	Prevotellaceae	Prevotella
Prevotella scopos	589437	Bacteria	FCB group	NA	Prevotellaceae	Prevotella
Bacteroides xylanisolvens	371601	Bacteria	FCB group	NA	Bacteroidaceae	Bacteroides
Bacteroides sp. BFG-257	2972761	Bacteria	FCB group	NA	Bacteroidaceae	Bacteroides
Bacteroides caccae	47678	Bacteria	FCB group	NA	Bacteroidaceae	Bacteroides
Phocaeicola salanitronis	376805	Bacteria	FCB group	NA	Bacteroidaceae	Phocaeicola
Flavobacterium sp. HJ-32-4	1160795	Bacteria	FCB group	NA	Flavobacteriaceae	Flavobacterium
Capnocytophaga sputigena	1019	Bacteria	FCB group	NA	Flavobacteriaceae	Capnocytophaga
Gemmatimonas groenlandica	2732249	Bacteria	FCB group	NA	Gemmatimonadaceae	Gemmatimonas
Geomonas oryzisoli	2847992	Bacteria	NA	NA	Geobacteraceae	Geomonas
Akkermansia muciniphila	239935	Bacteria	PVC group	NA	Akkermansiaceae	Akkermansia
Methanococcoides orientis	2822137	Archaea	Stenosarchaea group	NA	Methanosarcinaceae	Methanococcoides
Peduovirus P22H4	2844218	Viruses	Duplodnaviria	Heunggongvirae	Peduoviridae	Peduovirus
Quadragintavirus ev040	2956346	Viruses	Duplodnaviria	Heunggongvirae	Peduoviridae	Quadragintavirus
Streptococcus phage D1024	2108109	Viruses	Duplodnaviria	Heunggongvirae	Aliceevansviridae	Moineauvirus
Jouyvirus ev207	2844249	Viruses	Duplodnaviria	Heunggongvirae	NA	Jouyvirus
Mardivirus gallidalpha2	3050287	Viruses	Duplodnaviria	Heunggongvirae	Orthoherpesviridae	Mardivirus
Yingvirus beihaiense	2507498	Viruses	Riboviria	Orthornavirae	Qinviridae	Yingvirus
Pseudomonas sp. J380	2605424	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Entomomonas asaccharolytica	2785331	Bacteria	NA	NA	Pseudomonadaceae	Entomomonas
Acinetobacter sp. WCHA45	2004644	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Pasteurella canis	753	Bacteria	NA	NA	Pasteurellaceae	Pasteurella
Pasteurella multocida	747	Bacteria	NA	NA	Pasteurellaceae	Pasteurella
Xanthomonas arboricola	56448	Bacteria	NA	NA	Lysobacteraceae	Xanthomonas
Xanthomonas albilineans	29447	Bacteria	NA	NA	Lysobacteraceae	Xanthomonas
Aeromonas sp. CA23	2033032	Bacteria	NA	NA	Aeromonadaceae	Aeromonas
Rheinheimera sp. MM224	3019969	Bacteria	NA	NA	Chromatiaceae	Rheinheimera
Vibrio splendidus	29497	Bacteria	NA	NA	Vibrionaceae	Vibrio
Bartonella kosoyi	2133959	Bacteria	NA	NA	Bartonellaceae	Bartonella
Microvirga terrae	2740529	Bacteria	NA	NA	Methylobacteriaceae	Microvirga
Sphingobium sp. PAMC28499	2565554	Bacteria	NA	NA	Sphingomonadaceae	Sphingobium
Paraburkholderia bryophila	420952	Bacteria	NA	NA	Burkholderiaceae	Paraburkholderia
Limnobacter sp. SAORIC-580	2732163	Bacteria	NA	NA	Burkholderiaceae	Limnobacter
Achromobacter deleyi	1353891	Bacteria	NA	NA	Alcaligenaceae	Achromobacter
Achromobacter xylosoxidans	85698	Bacteria	NA	NA	Alcaligenaceae	Achromobacter
Variovorax sp. RKNM96	2681552	Bacteria	NA	NA	Comamonadaceae	Variovorax
Massilia sp. NP310	2861282	Bacteria	NA	NA	Oxalobacteraceae	Massilia
Neisseria subflava	28449	Bacteria	NA	NA	Neisseriaceae	Neisseria
Neisseria meningitidis	487	Bacteria	NA	NA	Neisseriaceae	Neisseria
Kingella oralis	505	Bacteria	NA	NA	Neisseriaceae	Kingella
Hydrogenophilus thermoluteolus	297	Bacteria	NA	NA	Hydrogenophilaceae	Hydrogenophilus
Micromonospora endophytica	515350	Bacteria	Terrabacteria group	NA	Micromonosporaceae	Micromonospora
Actinocatenispora sera	390989	Bacteria	Terrabacteria group	NA	Micromonosporaceae	Actinocatenispora
Mycolicibacterium neoaurum	1795	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycolicibacterium
Tessaracoccus timonensis	2161816	Bacteria	Terrabacteria group	NA	Propionibacteriaceae	Tessaracoccus
Arachnia rubra	1547448	Bacteria	Terrabacteria group	NA	Propionibacteriaceae	Arachnia
Nocardioides sp. S5	2017486	Bacteria	Terrabacteria group	NA	Nocardioidaceae	Nocardioides
Streptomyces sp. SCSIO ZS0520	2892996	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. Je 1-369	2966192	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Streptomyces sp. EAS-AB2608	2779671	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Rothia aeria	172042	Bacteria	Terrabacteria group	NA	Micrococcaceae	Rothia
Dermacoccus nishinomiyaensis	1274	Bacteria	Terrabacteria group	NA	Dermacoccaceae	Dermacoccus
Actinomyces sp. oral taxon 169	712116	Bacteria	Terrabacteria group	NA	Actinomycetaceae	Actinomyces
Nakamurella sp. PAMC28650	2762325	Bacteria	Terrabacteria group	NA	Nakamurellaceae	Nakamurella
Thermus thermophilus	274	Bacteria	Terrabacteria group	NA	Thermaceae	Thermus
Thermus antranikianii	88190	Bacteria	Terrabacteria group	NA	Thermaceae	Thermus
Streptococcus sp. 116-D4	2598453	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Streptococcus thermophilus	1308	Bacteria	Terrabacteria group	NA	Streptococcaceae	Streptococcus
Carnobacterium sp. CS13	2800128	Bacteria	Terrabacteria group	NA	Carnobacteriaceae	Carnobacterium
Staphylococcus aureus	1280	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Staphylococcus
Polycladomyces abyssicola	1125966	Bacteria	Terrabacteria group	NA	Thermoactinomycetaceae	Polycladomyces
Selenomonas sp. oral taxon 136	713030	Bacteria	Terrabacteria group	NA	Selenomonadaceae	Selenomonas
Mogibacterium diversum	114527	Bacteria	Terrabacteria group	NA	Anaerovoracaceae	Mogibacterium
Thermacetogenium phaeum	85874	Bacteria	Terrabacteria group	NA	Thermoanaerobacteraceae	Thermacetogenium
Porphyromonas sp. oral taxon 275	712435	Bacteria	FCB group	NA	Porphyromonadaceae	Porphyromonas
Maribacter hydrothermalis	1836467	Bacteria	FCB group	NA	Flavobacteriaceae	Maribacter
Elizabethkingia miricola	172045	Bacteria	FCB group	NA	Weeksellaceae	Elizabethkingia
Fusobacterium periodonticum	860	Bacteria	NA	NA	Fusobacteriaceae	Fusobacterium
Fusobacterium hwasookii	1583098	Bacteria	NA	NA	Fusobacteriaceae	Fusobacterium
Sorangium cellulosum	56	Bacteria	NA	NA	Polyangiaceae	Sorangium
Rosellinia necatrix partitivirus 8	2025333	Viruses	Riboviria	Orthornavirae	Partitiviridae	NA
