"path_03"	"X770286.BAL.LUL.Inv.V1"	"X770328.BAL.RML.Inv.V1"	"X770328.BAL.RUL.Inv.V2"	"X770341.BAL.RUL.inv.V1"	"X770341.BAL.RUL.Inv.V1"	"X770359.BAL.RLL.Inv.V1"	"X770359.BAL.RLL.Inv.V2"	"X770365.BAL.RUL.Inv.V1"	"X770384.BAL.LUL.Inv.V1"	"X770389.BAL.RML.Inv.V1"	"X770396.BAL.RUL.Inv.V1"	"X770396.UNIV.0234.BAL.RML.Inv.V2"	"X770402.BAL.RUL.Inv.V1"	"X770402.BAL.RUL.Inv.V2"	"X770406.BAL.LLL.Inv.V1"	"X770418.BAL.LUL.Inv.V1"	"X770420.BAL.LUL.inv.V1"	"X770450.BAL.LLL.inv.V1"	"X770464.BAL.LLL.Inv.V1"	"X770467.BAL.RML.Inv.V1"	"X770468.BAL.Lingula.Inv.V1"	"X770468.BAL.RML.inv.V1"	"X770468.BAL.RML.Inv.V2"	"X770471.BAL.RML.Inv.V1"	"X770473.BAL.RLL.Inv.V1"	"X770476.BAL.RML.Inv.V1"	"X770478.BAL.RUL.Inv.V1"	"X770483.BAL.RUL.Inv.V1"	"X770483.BAL.RUL.Inv.V2"	"X770485.BAL.RML.Inv.V2"	"X770485.NYU.2829.BAL.Right.inv.V3"	"X770492.BAL.LUL.Inv.V1"	"X770493.BAL.LUL.Inv.V1"	"X770505.BAL.RML.Inv.V1"	"X770505.BAL.RUL.Inv.V2"	"X770513.BAL.RUL.Inv.V1"	"X770530.BAL.LUL.Inv.V1"	"X770543.BAL.RLL.Inv.V1"	"X770548.BAL.LLL.Inv.V1"	"X770551.BAL.RUL.Inv.V1"	"X770553.BAL.LUL.Inv.V1"	"X770559.BAL.RUL.Inv.V2"	"X770569.BAL.RLL.Inv.V1"	"X770572.BAL.RLL.Inv.V1"	"X770595.BAL.RLL.Inv.V1"	"X770596.BAL.RUL.Inv.V1"	"X770602.BAL.LLL.Inv.V1"	"X770610.BAL.LUL.Inv.V1"	"X770616.BAL.RML.Inv.V1"	"X770618.BAL.RUL.Inv.V1"	"X770633.BAL.RUL.Inv.V1"	"X770634.BAL.Lingula.Uninv.V1"	"X770634.BAL.RML.Inv.V1"	"X770635.BAL.RML.Inv.V1"	"X770637.BAL.RML.Inv.V1"	"X770642.BAL.Lingula.Inv.V1"	"X770653.BAL.LUL.Inv.V1"	"X770660.BAL.Lingula.Inv.V1"	"X770665.BAL.RUL.Inv.V1"	"X770666.BAL.Lingula.Inv.V1"	"X770668.BCI.0007.BAL.LUL.Inv.V1"	"X770676.BCI.0008.BAL.LUL.Inv.V1"	"X770682.BAL.RUL.INV.V1"	"X770688.BAL.LLL.Inv.V1"	"X770693.BAL.RUL.Inv.V1"	"X770697.BAL.RUL.Inv.V1"	"X770702.BAL.RUL.Inv.V1"	"X770704.BAL.LUL.Inv.V1"	"X770705.BAL.Lingula.Inv.V1"	"X770708.BAL.RUL.Inv.V1"	"X770713.BAL.RUL.Inv.V1"	"X770733.BAL.LUL.Inv.V1"	"X770745.BAL.RUL.Inv.V1"	"X770750.BAL.RLL.Inv.V1"	"X770753.BAL.RLL.Inv.V1"	"X770755.BAL.RLL.Inv.V1"	"X770758.BAL.RUL.INV.V1"	"X770761.BAL.RUL.Inv.V1"	"X770767.BAL.RML.Inv.V2"	"X770767.BAL.RUL.Inv.V1"	"X770767.BKG.V1"	"X770767.Supraglottic.V1"	"X770777.BAL.RUL.Inv.V1"	"X770777.BKG.V1"	"X770777.Supraglottic.V1"	"X770779.BAL.RML.Inv.V2"	"X770779.BAL.RUL.Inv.V1"	"X770779.BKG.V2"	"X770779.Supraglottic.V1"	"X770779.Supraglottic.V2"	"X770780.BAL.LUL.Inv.V1"	"X770780.Supraglottic.V1"	"X770785.BAL.RUL.Inv.V1"	"X770785.Supraglottic.V1"	"X770798.BAL.LUL.Inv.V1"	"X770798.Supraglottic.V1"	"X770800.LC2790.BAL.RUL.Inv.V1"	"X770800.LC2790.BKG.V1"	"X770800.LC2790.Supraglottic.V1"	"X770803.BAL.RUL.Inv.V1"	"X770805.BAL.RLL.Inv.V1"	"X770808.BCI.0016.BAL.RML.Inv.V1"	"X770842.BAL.RML.Inv.V1"	"X770842.BKG.V1"	"X770842.Supraglottic.V1"	"X770844.BAL.RLL.Inv.V1"	"X770844.BKG.V1"	"X770844.Supraglottic.V1"	"X770861.BAL.RUL.Inv.V1"	"X770861.BKG.V1"	"X770861.Supraglottic.V1"	"X770862.BCI.0017.BAL.RML.Inv.V1"	"X770862.BCI.0017.Supraglottic.V1"	"X770863.BAL.Lingula.Inv.V1"	"X770863.Supraglottic.V1"	"X770864.BAL.RML.Inv.V1"	"X770864.Supraglottic.V1"	"X770870.BAL.RML.Inv.V1"	"X770870.Supraglottic.V1"	"X770882.LCL.011.BAL.RUL.Inv.V1"	"X770882.LCL.011.Supraglottic.V1"	"X770920.BCI.019.BAL.RUL.Inv.V1"	"X770925.BAL.RLL.Inv.V1"	"X770927.BAL.RUL.Inv.V1"	"X770929.BAL.RML.Inv.V1"	"X770944.BAL.RML.Inv.V1"	"X770944.BKG.V1"	"X770944.Supraglottic.V1"	"X770946.BAL.RML.Inv.V1"	"X770946.BKG.V1"	"X770946.Supraglottic.V1"	"X770947.BAL.RML.Inv.V1"	"X770947.BKG.V1"	"X770947.Supraglottic.V1"	"X770955.BAL.RML.Inv.V1"	"X770962.BAL.RLL.Inv.V1"	"X770962.Supraglottic.V1"	"X770973.BAL.LUL.Inv.V1"	"X770978.BAL.RUL.Inv.V1"	"UNIV.0042.BAL.RUL.Inv.V1"	"UNIV.0044.BAL.RUL.Inv.V1"	"UNIV.0172.BAL.RLL.Inv.V1"	"UNIV.0311.LC.BAL.RLL.Inv.V1"	"UNIV.0384.BAL.LLL.Inv.V1"	"UNIV.0402.BAL.RML.UnInv.V1"	"UNIV.0419.BAL.LUL.Inv.V1"
"ABC1 family"	656	164	1818	0	0	1370	1152	3394	402	1730	2422	806	1706	0	316	114	4	1324	4766	3576	4146	4575	3992	1522	358	988	3448	2410	8	328	724	1238	2882	786	9484	1154	11056	8520	484	5182	3714	1313	3800	8	4416	3030	2844	104	1410	1942	1512	468	3078	4210	14	1906	6	1308	14	7734	188	2090	7386	586	3328	1696	1676	3570	2	1320	2586	7460	2254	8	5616	2516	568	72	570	284	0	0	22	0	74	12	402	0	0	0	30	0	286	0	2916	0	1272	0	78	4852	4	7078	340	0	0	902	8	0	712	0	0	1022	0	794	268	1828	0	788	50	0	0	6206	4	1880	202	2784	0	0	3118	0	4	4042	0	0	4176	216	0	636	4443	694	7972	278	2352	4	0	3326
"ABCA (ABC1) subfamily"	6504	55662	36212	0	19222	34141	63130	15526	16243	28726	13586	7236	44338	259	1818	16239	59303	30248	73160	28290	28300	52078	19417	9714	5228	2782	34934	29288	8	1540	8170	508	321944	15418	108460	11748	8882	45958	113694	28466	59616	7130	19252	22932	12372	20138	76124	23179	30994	28814	89412	12392	51305	30680	1052	18378	704	19818	2402	93918	31682	84743	36274	8472	29820	107277	19462	11216	5778	19510	156505	82175	2402	12833	10608	121822	45702	35196	20274	48024	0	162	28026	0	1028	2132	9665	0	58	0	16649	1482	33156	0	3282	0	16262	10	13892	18554	1304	46288	10634	0	82	92958	0	1120	36434	0	68	34278	8	11166	2350	67568	3107	21146	764	1016	14	42641	7042	47252	5586	13814	0	1280	37504	0	1414	24386	0	0	20149	12980	0	24600	66382	21846	47338	52	14170	1104	1632	20328
"ABCB (MDR/TAP) subfamily"	1484	94	1602	0	0	3676	6298	6381	2560	7648	2074	2638	5054	18	5312	3112	116	17320	4040	3444	2628	6133	3386	880	2198	212	5277	7570	1642	168	244	3614	5740	4240	7736	2340	82	628	1508	3464	5850	1338	3634	4	794	2530	3698	2290	2520	3104	1530	1206	840	4270	250	74	426	2930	544	7022	458	3132	7290	6	2124	3402	678	6684	226	2710	5694	13056	800	8724	4290	7550	3510	6805	2022	9252	0	0	2654	0	140	356	244	0	20	0	912	198	4118	0	692	0	5256	0	352	3896	290	3850	548	0	0	5902	0	0	1458	0	8	7246	20	785	582	1864	1348	738	186	214	0	7312	1028	2642	74	3894	0	150	6774	0	4	4324	0	0	7994	86	0	3986	8542	3746	8504	48	16010	28	8	2336
"ABCC (CFTR/MRP) subfamily"	674	336	18836	0	60	5744	5624	18200	3586	2590	11656	4504	7290	0	1428	5785	33846	2472	24472	14179	5814	22509	16741	2728	4716	2239	19800	11323	14383	2206	560	906	9698	1906	27771	3288	2836	21072	11670	9378	8610	8790	14186	96	7396	5966	10522	942	4558	4296	8190	1510	12645	20384	1190	2648	1516	2938	3529	29582	2930	10328	10530	763	6270	4320	8328	9163	956	2554	14072	29090	1512	7526	6138	10496	8218	2854	7728	3448	20	0	4486	0	0	76	628	0	0	0	898	0	6382	10	2194	0	1294	0	1112	1636	374	19516	1972	0	0	5708	4	0	7656	0	0	6408	0	1065	314	5882	476	1072	0	142	0	8774	3996	8658	1442	6992	0	22	12136	4	4	7156	0	0	11030	1608	0	5812	14168	1670	18660	4	23222	0	14	12966
"ABCD (ALD) subfamily"	390	6846	12278	0	8	4172	2270	2942	474	4522	1852	3169	650	0	1508	13672	12043	7769	5092	2954	2490	3508	1106	1598	1132	210	3530	1544	4	4094	842	18	8692	1730	3858	5790	694	27808	2440	1438	3154	322	12218	5330	1604	1046	3112	410	2160	1312	9498	5044	1350	2834	216	1154	214	2384	128	5076	12726	3462	1752	170	2168	7182	2130	3346	0	7182	8878	13574	2726	122	11474	7864	7360	4276	3636	4150	0	0	3188	0	1186	0	1462	0	4	0	756	86	6508	0	318	32	2166	0	1874	4608	456	8964	368	0	24	6264	0	14	3374	0	28	3648	0	1940	2590	4098	96	144	308	552	0	5214	1148	8843	1264	2194	0	1412	3782	0	0	1966	0	0	3120	1198	0	1338	8178	892	5576	0	1316	6	6	2642
"ABCG (White) subfamily"	10531	216	3634	1306	1292	918	9596	16020	314	1368	1032	5886	1426	0	7402	242	1429	182	12916	972	3962	15521	8837	4716	1532	994	24224	16802	2263	2732	52	7106	1754	10622	20246	1440	4	13889	1232	17314	1842	3286	9683	1064	2474	6280	1694	5896	3200	1380	1724	670	16	31912	2140	0	276	9770	3692	22828	0	1226	3066	10	0	5310	2884	12600	11598	968	2904	2848	9262	3396	2276	6550	524	0	1298	1762	0	0	4428	0	8	414	164	0	0	0	24	20	100	0	1404	0	2864	0	1124	210	540	2168	106	0	0	724	4	12	2486	0	4	938	2	2684	192	122	286	3650	94	0	0	1960	180	1078	270	9750	0	110	5914	0	0	2216	0	0	12534	0	0	248	10543	4202	17608	708	9504	0	10	2514
"ABL family"	4336	1104	3968	0	8	3018	4022	3404	4604	2972	9130	891	20308	3356	2240	4268	3770	108	8270	8096	11728	3658	2224	686	4922	898	9454	1782	58	3658	10	3610	4642	2760	12064	2416	728	192	8272	3268	2540	0	7998	1000	9632	13246	3378	2458	3748	3584	7986	2976	3194	10006	6	1160	102	7428	5274	9097	2062	2352	8026	162	2552	3858	7822	8088	32	5330	4824	11598	21757	5164	4252	5968	11318	1850	998	4674	0	0	5242	0	102	110	40	0	0	0	6700	272	6776	0	564	0	2496	0	850	10066	4248	2188	6732	0	0	1608	0	0	2270	0	0	2554	8	2622	846	1944	128	9427	148	292	0	8086	1628	3018	24	6274	0	0	7038	8	0	4638	0	0	12070	282	0	980	10794	2090	12390	4	1614	2616	1816	3430
"ABO blood group"	0	8190	2508	8	958	496	2248	62	834	3310	18	56	294	0	0	462	54	1526	12	3839	2238	962	12	0	8	0	178	206	4	0	126	4	4534	2	988	294	6	80	13567	262	1610	0	8	0	1252	4	1440	44	1030	872	496	236	738	0	8	478	0	416	6	3638	1320	3082	366	2074	180	200	0	274	8	28	1970	630	192	200	4436	1880	4350	414	40	990	0	6	252	0	386	0	6	0	4	0	0	48	3152	0	4	0	40	0	1576	8	10	2236	8	0	12	2794	0	16	4696	0	12	630	6	4	818	428	414	982	162	0	0	390	490	774	569	0	0	134	1100	0	48	36	0	0	78	0	16	318	644	1130	0	0	0	0	8	772
"ACK family"	278	2776	5480	0	40	728	264	320	2	766	42	902	250	0	130	1148	18	0	8274	304	558	2524	82	108	604	8712	894	208	24	8	92	520	310	302	1714	40	14	158	18	369	930	430	112	178	668	130	498	128	244	2	1194	20	832	1558	2	4	0	428	858	2064	12	220	538	0	284	1558	0	432	58	1110	734	614	4	498	12066	372	16	0	212	56	0	0	20	0	200	22	0	0	0	0	4	0	1836	0	176	0	30	0	130	6	16	1594	262	0	30	238	0	0	12	0	4	300	0	42	474	152	58	0	212	136	0	716	484	126	0	154	0	44	702	0	0	200	0	0	774	0	0	16	208	0	1266	4	60	0	0	50
"ADAMTS-like proteins"	0	0	4	0	0	474	206	400	234	2222	1276	10	302	0	0	0	4	190	0	1600	460	1342	86	0	318	3266	0	1430	0	8	18	20	2938	8	1764	364	42	10	838	374	1570	210	170	0	98	30	1484	6	5678	474	480	66	78	0	24	18	126	110	422	7282	4	4450	3916	0	10	582	0	0	2	450	3216	5884	48	124	3014	3080	1404	2	372	46	14	0	12	0	8	0	160	0	4	0	1044	0	4978	0	194	0	6	18	88	510	0	648	8	0	6	740	0	8	158	0	12	584	0	30	524	1896	166	84	8	8	0	710	0	1090	78	0	0	4	186	0	16	178	0	0	14	44	302	70	614	12	68	12	0	148	8	140
"AGE-RAGE signaling pathway in diabetic complications"	379527	304696	364584	8906	96888	282575	450488	418375	197902	374478	208225	308942	552259	13256	227831	200018	161823	138159	713708	407297	262437	438673	247926	97166	227541	102474	583735	483636	142774	202194	70891	278021	209938	405095	731782	282757	69245	140524	192653	334191	293081	286783	475150	135552	292464	270928	269681	560930	209636	226559	355639	130460	234552	795499	8986	209268	32729	375888	71935	596872	204606	332536	1187448	40562	234981	243172	333788	797962	131428	166479	261509	984325	481086	195102	230380	590748	384595	315273	193190	275541	76	21430	155425	4	28878	42644	251950	0	4904	116	815253	9708	350749	102	103145	700	149865	20	34924	413514	95275	338960	192221	12	2450	201789	24	9586	211669	0	4184	171187	9434	441080	103266	212947	114758	180471	35422	57154	11458	464782	186832	231722	38093	566185	26	36844	296331	6	10590	239071	4	2352	518116	111437	3860	150686	613675	303374	890095	112482	221996	44782	6840	309202
